,close,max,min,year,ticker
0,26.71,31.99,23.9,2010,CMIG4
1,33.27,33.55,25.46,2011,CMIG4
2,22.6,49.5,21.85,2012,CMIG4
3,14.01,26.0,14.0,2013,CMIG4
4,13.14,19.96,12.06,2014,CMIG4
5,6.13,16.08,5.76,2015,CMIG4
6,7.71,9.97,4.1,2016,CMIG4
7,6.87,12.04,5.14,2017,CMIG4
8,13.86,13.87,6.46,2018,CMIG4
9,13.79,15.74,12.2,2019,CMIG4
10,14.56,16.21,7.54,2020,CMIG4
11,13.11,15.42,11.09,2021,CMIG4
12,11.14,15.65,9.94,2022,CMIG4
13,11.48,13.63,10.19,2023,CMIG4
14,12.59,13.34,11.08,2024,CMIG4
15,20.75,24.88,18.0,2010,CMIG3
16,27.3,27.3,20.0,2011,CMIG3
17,21.9,42.49,21.1,2012,CMIG3
18,14.2,25.4,14.11,2013,CMIG3
19,13.8,20.8,12.54,2014,CMIG3
20,6.44,16.26,6.0,2015,CMIG3
21,7.88,10.03,4.39,2016,CMIG3
22,6.41,14.7,6.0,2017,CMIG3
23,15.03,15.03,5.95,2018,CMIG3
24,15.59,19.39,13.69,2019,CMIG3
25,16.4,17.96,7.47,2020,CMIG3
26,18.52,18.99,13.21,2021,CMIG3
27,16.15,21.0,12.6,2022,CMIG3
28,15.13,21.1,14.66,2023,CMIG3
29,14.7,15.76,13.1,2024,CMIG3
30,21.8,74.49,21.1,2012,TAEE11
31,18.2,23.84,17.75,2013,TAEE11
32,18.84,24.0,16.61,2014,TAEE11
33,16.75,22.3,15.8,2015,TAEE11
34,20.74,26.22,15.05,2016,TAEE11
35,21.34,24.91,19.64,2017,TAEE11
36,23.6,24.29,17.95,2018,TAEE11
37,31.18,31.22,23.54,2019,TAEE11
38,33.33,34.37,24.0,2020,TAEE11
39,36.37,42.68,29.82,2021,TAEE11
40,34.67,46.07,32.51,2022,TAEE11
41,38.38,38.46,33.24,2023,TAEE11
42,35.25,38.62,34.42,2024,TAEE11
43,7.15,10.02,6.73,2017,TAEE3
44,8.47,9.0,6.0,2018,TAEE3
45,10.28,10.65,8.4,2019,TAEE3
46,11.2,11.74,8.0,2020,TAEE3
47,12.12,14.5,9.95,2021,TAEE3
48,11.63,15.33,10.79,2022,TAEE3
49,12.8,12.97,11.03,2023,TAEE3
50,11.7,12.85,11.41,2024,TAEE3
51,6.8,12.0,6.57,2017,TAEE4
52,7.6,8.01,5.99,2018,TAEE4
53,10.5,10.62,7.45,2019,TAEE4
54,11.19,11.47,8.01,2020,TAEE4
55,12.18,14.97,9.96,2021,TAEE4
56,11.65,15.4,10.9,2022,TAEE4
57,12.83,12.87,11.12,2023,TAEE4
58,11.87,12.92,11.52,2024,TAEE4
59,41.5,44.67,32.4,2010,CPLE6
60,38.9,46.71,31.82,2011,CPLE6
61,31.7,48.29,25.67,2012,CPLE6
62,30.53,37.33,24.6,2013,CPLE6
63,35.9,40.89,23.38,2014,CPLE6
64,24.3,37.09,23.29,2015,CPLE6
65,27.36,37.82,17.35,2016,CPLE6
66,24.95,35.79,22.05,2017,CPLE6
67,30.55,34.2,19.1,2018,CPLE6
68,69.07,70.09,30.17,2019,CPLE6
69,74.94,78.71,42.21,2020,CPLE6
70,6.44,75.71,5.73,2021,CPLE6
71,7.91,9.12,6.02,2022,CPLE6
72,10.36,10.44,6.55,2023,CPLE6
73,9.1,10.55,9.0,2024,CPLE6
74,38.0,40.0,30.0,2010,CPLE3
75,33.02,42.0,28.32,2011,CPLE3
76,25.2,40.36,20.8,2012,CPLE3
77,22.3,30.5,19.45,2013,CPLE3
78,24.9,28.18,17.02,2014,CPLE3
79,16.0,25.62,15.4,2015,CPLE3
80,19.08,25.0,11.8,2016,CPLE3
81,21.4,28.79,18.1,2017,CPLE3
82,29.8,32.65,17.3,2018,CPLE3
83,69.1,70.35,29.15,2019,CPLE3
84,70.0,86.03,44.72,2020,CPLE3
85,6.12,70.29,5.21,2021,CPLE3
86,6.87,8.36,5.56,2022,CPLE3
87,9.49,9.58,5.83,2023,CPLE3
88,8.34,9.54,8.07,2024,CPLE3
89,28.7,33.9,20.95,2010,CSMG3
90,33.4,34.87,26.09,2011,CSMG3
91,43.75,53.1,33.03,2012,CSMG3
92,37.2,51.65,27.66,2013,CSMG3
93,25.18,42.18,21.22,2014,CSMG3
94,15.5,27.08,8.51,2015,CSMG3
95,36.5,36.5,10.12,2016,CSMG3
96,43.39,55.47,30.79,2017,CSMG3
97,61.53,61.55,38.29,2018,CSMG3
98,67.99,74.52,52.88,2019,CSMG3
99,16.4,72.6,14.77,2020,CSMG3
100,12.71,18.1,12.36,2021,CSMG3
101,15.69,16.27,11.09,2022,CSMG3
102,20.48,21.4,13.78,2023,CSMG3
103,21.57,22.89,19.79,2024,CSMG3
104,59.9,60.69,51.18,2017,SAPR11
105,61.5,61.5,40.79,2018,SAPR11
106,101.42,102.23,59.22,2019,SAPR11
107,26.0,111.72,20.4,2020,SAPR11
108,19.17,26.0,18.11,2021,SAPR11
109,18.06,21.24,16.28,2022,SAPR11
110,29.19,29.72,16.43,2023,SAPR11
111,25.94,29.44,24.45,2024,SAPR11
112,8.19,8.2,8.19,2013,SAPR3
113,7.88,7.88,7.87,2014,SAPR3
114,4.0,7.84,3.51,2015,SAPR3
115,6.02,8.0,3.18,2016,SAPR3
116,12.31,14.04,8.0,2017,SAPR3
117,16.77,17.55,7.91,2018,SAPR3
118,17.4,25.54,14.65,2019,SAPR3
119,6.0,24.48,4.15,2020,SAPR3
120,3.8,6.09,3.5,2021,SAPR3
121,3.47,4.14,3.06,2022,SAPR3
122,5.61,5.63,3.16,2023,SAPR3
123,4.97,5.63,4.69,2024,SAPR3
124,2.92,3.12,2.3,2010,SAPR4
125,4.63,4.98,2.95,2011,SAPR4
126,9.05,9.58,4.52,2012,SAPR4
127,6.78,10.23,5.79,2013,SAPR4
128,5.8,6.97,4.81,2014,SAPR4
129,3.35,5.88,3.0,2015,SAPR4
130,10.75,11.2,2.5,2016,SAPR4
131,11.7,15.05,9.35,2017,SAPR4
132,10.7,11.6,8.21,2018,SAPR4
133,21.08,21.26,10.38,2019,SAPR4
134,5.1,22.24,4.12,2020,SAPR4
135,3.87,5.1,3.69,2021,SAPR4
136,3.65,4.24,3.33,2022,SAPR4
137,5.89,5.99,3.36,2023,SAPR4
138,5.25,5.92,4.97,2024,SAPR4
139,42.59,44.48,30.1,2010,SBSP3
140,52.03,52.9,39.0,2011,SBSP3
141,86.87,92.76,50.42,2012,SBSP3
142,26.46,97.2,19.35,2013,SBSP3
143,17.01,26.44,15.8,2014,SBSP3
144,18.93,20.77,12.63,2015,SBSP3
145,28.79,34.0,16.27,2016,SBSP3
146,34.33,35.81,25.61,2017,SBSP3
147,31.5,39.5,21.96,2018,SBSP3
148,60.56,62.01,31.28,2019,SBSP3
149,44.44,66.77,28.37,2020,SBSP3
150,40.18,45.03,31.25,2021,SBSP3
151,57.16,61.69,34.25,2022,SBSP3
152,75.37,75.62,43.78,2023,SBSP3
153,82.3,85.63,71.86,2024,SBSP3
154,15.5,17.0,10.0,2010,BRSR3
155,14.61,16.99,12.7,2011,BRSR3
156,12.8,18.0,11.0,2012,BRSR3
157,13.0,17.7,12.25,2013,BRSR3
158,12.7,14.23,10.69,2014,BRSR3
159,9.0,13.5,6.0,2015,BRSR3
160,11.33,15.97,5.5,2016,BRSR3
161,26.4,43.0,11.1,2017,BRSR3
162,21.4,29.92,13.12,2018,BRSR3
163,23.0,26.31,20.17,2019,BRSR3
164,15.75,23.95,12.58,2020,BRSR3
165,11.86,16.39,11.2,2021,BRSR3
166,10.71,13.66,10.14,2022,BRSR3
167,13.86,14.93,10.25,2023,BRSR3
168,12.51,15.43,12.24,2024,BRSR3
169,17.9,20.5,10.92,2010,BRSR5
170,18.5,20.7,14.84,2011,BRSR5
171,15.9,21.0,12.03,2012,BRSR5
172,15.72,17.5,14.51,2013,BRSR5
173,13.43,14.7,10.9,2014,BRSR5
174,6.95,13.21,5.99,2015,BRSR5
175,11.2,25.0,6.17,2016,BRSR5
176,22.0,45.0,11.3,2017,BRSR5
177,24.0,30.0,15.6,2018,BRSR5
178,24.9,31.9,21.99,2019,BRSR5
179,19.89,24.83,16.8,2020,BRSR5
180,16.8,21.9,15.79,2021,BRSR5
181,17.58,18.25,14.99,2022,BRSR5
182,17.9,19.99,13.85,2023,BRSR5
183,15.0,18.49,14.05,2024,BRSR5
184,17.65,21.07,10.74,2010,BRSR6
185,20.0,21.0,12.97,2011,BRSR6
186,15.51,22.2,12.61,2012,BRSR6
187,12.6,18.52,11.8,2013,BRSR6
188,14.5,16.04,10.12,2014,BRSR6
189,5.86,14.57,5.34,2015,BRSR6
190,10.32,13.95,4.1,2016,BRSR6
191,14.9,19.49,10.21,2017,BRSR6
192,22.18,22.88,13.15,2018,BRSR6
193,21.65,26.81,19.69,2019,BRSR6
194,14.57,22.28,10.54,2020,BRSR6
195,9.65,14.89,9.16,2021,BRSR6
196,9.7,12.72,8.9,2022,BRSR6
197,13.35,15.2,9.29,2023,BRSR6
198,12.49,15.73,12.28,2024,BRSR6
199,14.48,14.48,10.2,2010,ITSA3
200,14.4,14.5,10.25,2011,ITSA3
201,14.49,15.0,11.01,2012,ITSA3
202,12.7,14.97,9.6,2013,ITSA3
203,9.7,12.54,8.5,2014,ITSA3
204,7.03,10.95,6.95,2015,ITSA3
205,8.03,8.97,6.31,2016,ITSA3
206,10.52,11.0,7.95,2017,ITSA3
207,13.3,14.95,9.29,2018,ITSA3
208,14.05,17.49,11.81,2019,ITSA3
209,12.34,14.25,9.19,2020,ITSA3
210,9.3,12.77,9.16,2021,ITSA3
211,8.9,11.1,8.37,2022,ITSA3
212,10.34,10.5,7.93,2023,ITSA3
213,9.67,10.94,9.46,2024,ITSA3
214,13.2,14.06,10.22,2010,ITSA4
215,11.28,13.55,8.11,2011,ITSA4
216,9.69,12.64,7.99,2012,ITSA4
217,8.9,10.84,7.5,2013,ITSA4
218,9.39,11.32,7.95,2014,ITSA4
219,6.88,11.0,6.8,2015,ITSA4
220,8.28,9.63,6.25,2016,ITSA4
221,10.82,11.57,8.16,2017,ITSA4
222,12.08,14.43,8.51,2018,ITSA4
223,14.09,14.26,11.02,2019,ITSA4
224,11.73,14.38,7.44,2020,ITSA4
225,8.93,12.35,8.85,2021,ITSA4
226,8.51,11.0,7.72,2022,ITSA4
227,10.37,10.4,7.65,2023,ITSA4
228,9.69,10.94,9.43,2024,ITSA4
229,22.55,26.05,17.93,2010,SANB11
230,14.96,22.95,12.51,2011,SANB11
231,14.97,19.7,13.59,2012,SANB11
232,13.98,16.07,12.64,2013,SANB11
233,13.46,16.49,10.84,2014,SANB11
234,16.04,17.99,12.21,2015,SANB11
235,29.53,29.8,12.33,2016,SANB11
236,31.88,36.13,22.75,2017,SANB11
237,42.7,45.19,28.02,2018,SANB11
238,49.52,50.68,40.35,2019,SANB11
239,44.83,51.58,21.87,2020,SANB11
240,29.98,47.2,29.84,2021,SANB11
241,28.19,37.36,25.52,2022,SANB11
242,32.3,32.48,25.27,2023,SANB11
243,27.45,32.34,26.35,2024,SANB11
244,0.24,0.3,0.17,2010,SANB3
245,0.16,0.25,0.12,2011,SANB3
246,0.15,0.2,0.13,2012,SANB3
247,0.14,0.16,0.11,2013,SANB3
248,6.7,8.5,0.1,2014,SANB3
249,8.83,10.8,6.1,2015,SANB3
250,19.36,19.46,6.6,2016,SANB3
251,18.49,22.92,13.01,2017,SANB3
252,22.22,24.6,14.06,2018,SANB3
253,25.45,28.99,20.3,2019,SANB3
254,21.66,26.9,10.5,2020,SANB3
255,14.21,22.45,14.0,2021,SANB3
256,13.3,17.93,12.02,2022,SANB3
257,15.2,15.4,11.76,2023,SANB3
258,12.86,15.25,12.36,2024,SANB3
259,0.19,0.22,0.16,2010,SANB4
260,0.14,0.19,0.12,2011,SANB4
261,0.13,0.18,0.13,2012,SANB4
262,0.14,0.16,0.11,2013,SANB4
263,6.02,8.18,0.1,2014,SANB4
264,7.23,7.92,5.52,2015,SANB4
265,10.05,10.59,5.4,2016,SANB4
266,13.22,14.04,9.31,2017,SANB4
267,20.53,22.89,13.5,2018,SANB4
268,23.53,24.73,19.32,2019,SANB4
269,23.49,25.35,11.42,2020,SANB4
270,15.95,25.0,15.95,2021,SANB4
271,14.94,19.4,13.55,2022,SANB4
272,17.0,17.01,13.52,2023,SANB4
273,14.58,17.03,14.02,2024,SANB4
274,31.42,34.98,24.6,2010,BBAS3
275,23.7,32.14,21.1,2011,BBAS3
276,25.6,29.79,18.0,2012,BBAS3
277,24.4,29.9,20.03,2013,BBAS3
278,23.77,38.19,18.61,2014,BBAS3
279,14.74,28.4,14.3,2015,BBAS3
280,28.09,29.46,12.52,2016,BBAS3
281,31.82,37.83,25.2,2017,BBAS3
282,46.49,46.49,24.14,2018,BBAS3
283,52.82,55.91,43.01,2019,BBAS3
284,38.8,53.97,21.91,2020,BBAS3
285,28.85,40.56,27.02,2021,BBAS3
286,34.73,44.94,28.2,2022,BBAS3
287,55.39,55.39,32.42,2023,BBAS3
288,27.55,59.91,27.01,2024,BBAS3
289,32.65,38.04,28.06,2010,BBDC4
290,30.75,33.99,25.12,2011,BBDC4
291,35.17,37.02,26.6,2012,BBDC4
292,29.09,38.47,25.5,2013,BBDC4
293,35.06,42.0,25.02,2014,BBDC4
294,19.28,38.96,19.03,2015,BBDC4
295,29.0,33.6,16.93,2016,BBDC4
296,33.85,37.37,25.54,2017,BBDC4
297,38.65,41.97,24.69,2018,BBDC4
298,36.17,46.5,31.36,2019,BBDC4
299,27.14,38.0,16.11,2020,BBDC4
300,19.21,28.83,18.94,2021,BBDC4
301,15.15,23.12,13.44,2022,BBDC4
302,17.09,17.74,12.39,2023,BBDC4
303,13.88,17.01,13.18,2024,BBDC4
304,25.7,31.0,22.51,2010,BBDC3
305,25.29,28.49,21.13,2011,BBDC3
306,33.94,36.12,22.57,2012,BBDC3
307,31.95,38.16,28.24,2013,BBDC3
308,34.32,41.3,27.13,2014,BBDC3
309,20.5,38.68,20.5,2015,BBDC3
310,29.14,33.16,17.9,2016,BBDC3
311,32.06,35.83,25.09,2017,BBDC3
312,33.85,40.48,22.33,2018,BBDC3
313,34.07,41.61,27.76,2019,BBDC3
314,24.2,35.69,15.02,2020,BBDC3
315,16.19,25.15,16.06,2021,BBDC3
316,13.47,19.02,12.03,2022,BBDC3
317,15.28,15.77,11.15,2023,BBDC3
318,12.2,15.26,11.94,2024,BBDC3
319,31.0,33.2,24.66,2010,ITUB3
320,27.01,32.63,21.51,2011,ITUB3
321,31.18,33.3,24.3,2012,ITUB3
322,29.45,36.64,26.6,2013,ITUB3
323,32.3,38.79,26.3,2014,ITUB3
324,24.58,35.93,23.81,2015,ITUB3
325,30.0,34.51,21.49,2016,ITUB3
326,37.69,40.18,29.36,2017,ITUB3
327,30.05,45.81,28.56,2018,ITUB3
328,32.03,33.47,27.19,2019,ITUB3
329,27.93,32.79,19.46,2020,ITUB3
330,19.09,30.15,18.91,2021,ITUB3
331,21.89,26.04,18.86,2022,ITUB3
332,28.84,29.01,19.53,2023,ITUB3
333,28.06,31.02,27.21,2024,ITUB3
334,39.79,43.72,31.03,2010,ITUB4
335,33.99,40.65,25.15,2011,ITUB4
336,33.39,38.94,26.73,2012,ITUB4
337,31.35,37.03,25.84,2013,ITUB4
338,34.6,41.62,28.91,2014,ITUB4
339,26.33,39.5,24.72,2015,ITUB4
340,33.85,39.99,22.81,2016,ITUB4
341,42.58,45.79,31.7,2017,ITUB4
342,35.5,53.34,33.26,2018,ITUB4
343,37.1,39.79,31.11,2019,ITUB4
344,31.63,38.24,20.0,2020,ITUB4
345,20.95,34.34,20.91,2021,ITUB4
346,25.0,31.29,21.09,2022,ITUB4
347,33.97,33.97,22.74,2023,ITUB4
348,32.21,35.95,31.28,2024,ITUB4
349,24.5,25.59,15.98,2013,BBSE3
350,32.16,35.98,21.54,2014,BBSE3
351,24.33,37.65,23.87,2015,BBSE3
352,28.3,33.8,20.9,2016,BBSE3
353,28.49,31.76,25.3,2017,BBSE3
354,27.59,32.55,22.81,2018,BBSE3
355,37.7,38.3,25.61,2019,BBSE3
356,29.63,38.88,22.04,2020,BBSE3
357,20.75,30.45,18.28,2021,BBSE3
358,33.71,34.34,19.01,2022,BBSE3
359,33.65,38.27,29.21,2023,BBSE3
360,32.09,36.09,31.87,2024,BBSE3
361,28.3,28.5,16.85,2010,PSSA3
362,21.3,29.08,16.8,2011,PSSA3
363,23.49,23.87,16.16,2012,PSSA3
364,29.75,30.25,22.47,2013,PSSA3
365,30.4,35.3,27.15,2014,PSSA3
366,28.79,42.68,26.3,2015,PSSA3
367,26.9,32.0,22.32,2016,PSSA3
368,36.33,40.29,25.32,2017,PSSA3
369,52.15,62.0,36.17,2018,PSSA3
370,62.74,64.09,48.12,2019,PSSA3
371,49.0,68.23,39.47,2020,PSSA3
372,20.92,59.37,20.31,2021,PSSA3
373,23.15,25.02,17.37,2022,PSSA3
374,28.74,29.7,22.05,2023,PSSA3
375,30.3,31.89,25.58,2024,PSSA3
376,7.25,7.38,4.94,2023,WIZC3
377,7.42,7.61,6.09,2024,WIZC3
378,50.08,55.83,50.08,2010,UGPA3
379,32.01,33.4,20.01,2011,UGPA3
380,46.29,49.2,31.85,2012,UGPA3
381,55.95,60.77,45.05,2013,UGPA3
382,51.45,58.66,45.7,2014,UGPA3
383,60.45,74.37,48.53,2015,UGPA3
384,68.45,79.05,53.35,2016,UGPA3
385,75.0,80.44,62.9,2017,UGPA3
386,53.2,83.25,36.28,2018,UGPA3
387,25.48,58.67,15.0,2019,UGPA3
388,23.74,28.07,10.11,2020,UGPA3
389,14.54,25.22,12.12,2021,UGPA3
390,12.61,15.84,11.33,2022,UGPA3
391,26.51,26.59,11.63,2023,UGPA3
392,26.5,31.28,25.57,2024,UGPA3
393,16.0,16.25,9.94,2019,ENAT3
394,11.85,18.69,6.04,2020,ENAT3
395,13.31,18.98,11.17,2021,ENAT3
396,13.5,24.44,11.71,2022,ENAT3
397,20.09,20.64,10.27,2023,ENAT3
398,28.82,30.0,18.07,2024,ENAT3
399,47.79,48.0,40.91,2011,VIVT3
400,43.65,51.8,37.43,2012,VIVT3
401,40.0,48.5,37.94,2013,VIVT3
402,39.89,44.66,36.49,2014,VIVT3
403,33.99,45.28,29.86,2015,VIVT3
404,36.4,41.0,28.41,2016,VIVT3
405,41.2,45.8,33.67,2017,VIVT3
406,41.29,46.61,35.24,2018,VIVT3
407,49.04,50.49,39.52,2019,VIVT3
408,46.5,60.72,41.45,2020,VIVT3
409,48.19,54.12,40.34,2021,VIVT3
410,38.35,55.35,36.4,2022,VIVT3
411,53.44,54.74,35.63,2023,VIVT3
412,48.0,56.61,47.69,2024,VIVT3
413,14.65,15.14,11.42,2020,TIMS3
414,13.15,14.85,11.15,2021,TIMS3
415,12.4,14.63,11.65,2022,TIMS3
416,17.93,18.58,10.75,2023,TIMS3
417,17.49,19.08,16.75,2024,TIMS3
