,ticker,cvm_code,setor,estatal,year,roe,debt_ratio,vpa,lpa,dividendo
0,CMIG4,2453,energia,True,2015,0.1901035258347991,4.785396777565682,5.899813271248572,1.1215753046312935,1.2196274740000002
0,CMIG4,2453,energia,True,2016,0.025880964756616307,39.34220352856127,5.8755988123704865,0.15206616578697718,1.293777846
0,CMIG4,2453,energia,True,2017,0.06989438202121738,12.289442050487422,6.509642414208433,0.45498743372020406,0.48711912
0,CMIG4,2453,energia,True,2018,0.10927142657905192,7.565811933424164,7.240637429619486,0.7911947812762009,1.28860558
0,CMIG4,2453,energia,True,2019,0.19837615327553074,4.226187587909038,7.314763064565708,1.4510745588704776,1.4502206640000002
0,CMIG4,2453,energia,True,2020,0.16393339538698892,3.4832354375260244,7.9393025878247725,1.3015168302268227,1.228648786
0,CMIG4,2453,energia,True,2021,0.19283292137172553,2.3487808926983598,8.840748678125399,1.7047873947161416,2.3520928000000003
0,CMIG4,2453,energia,True,2022,0.18795928030259557,1.8059668319913678,9.895319365676954,1.8599171063369768,3.0645264500000002
0,CMIG3,2453,energia,True,2015,0.1901035258347991,4.785396777565682,5.899813271248572,1.1215753046312935,1.2196274740000002
0,CMIG3,2453,energia,True,2016,0.025880964756616307,39.34220352856127,5.8755988123704865,0.15206616578697718,1.293777846
0,CMIG3,2453,energia,True,2017,0.06989438202121738,12.289442050487422,6.509642414208433,0.45498743372020406,0.48711912
0,CMIG3,2453,energia,True,2018,0.10927142657905192,7.565811933424164,7.240637429619486,0.7911947812762009,0.34917374
0,CMIG3,2453,energia,True,2019,0.19837615327553074,4.226187587909038,7.314763064565708,1.4510745588704776,1.4502206640000002
0,CMIG3,2453,energia,True,2020,0.16393339538698892,3.4832354375260244,7.9393025878247725,1.3015168302268227,1.228648786
0,CMIG3,2453,energia,True,2021,0.19283292137172553,2.3487808926983598,8.840748678125399,1.7047873947161416,2.3520928000000003
0,CMIG3,2453,energia,True,2022,0.18795928030259557,1.8059668319913678,9.895319365676954,1.8599171063369768,3.0645264500000002
0,TAEE11,20257,energia,False,2015,0.20777004682361355,3.892692399466475,12.705599092074912,2.6398429182824663,5.656716057000001
0,TAEE11,20257,energia,False,2016,0.20012731022558333,3.6991970452378355,12.503923561069527,2.502376589543142,8.112147801
0,TAEE11,20257,energia,False,2017,0.149114950206461,4.548123124860208,12.619929734639186,1.8818201939897592,5.297438553
0,TAEE11,20257,energia,False,2018,0.2343160139036039,3.0608332827719464,13.27160088783678,3.1097486181574445,8.361754295999999
0,TAEE11,20257,energia,False,2019,0.22164998756606966,4.7559543881885915,14.48590082174049,3.2107997370220973,5.672105064
0,TAEE11,20257,energia,False,2020,0.3755331980064734,2.3671797632004923,17.49179424827609,6.5687494329263565,9.633058952999999
0,TAEE11,20257,energia,False,2021,0.3311585344326704,2.900131633987046,19.40428797935199,6.42589556895169,13.511108493
0,TAEE11,20257,energia,False,2022,0.22056468968153906,4.880582936279296,19.072559786089542,4.20673323065144,14.563794687000001
0,TAEE3,20257,energia,False,2015,0.20777004682361355,3.892692399466475,4.235199697358304,0.8799476394274888,2.1973674840000004
0,TAEE3,20257,energia,False,2016,0.20012731022558333,3.6991970452378355,4.167974520356509,0.8341255298477139,2.704049268
0,TAEE3,20257,energia,False,2017,0.149114950206461,4.548123124860208,4.206643244879729,0.6272733979965864,1.765812849
0,TAEE3,20257,energia,False,2018,0.2343160139036039,3.0608332827719464,4.4238669626122595,1.0365828727191482,2.7872514330000002
0,TAEE3,20257,energia,False,2019,0.22164998756606966,4.7559543881885915,4.82863360724683,1.0702665790073658,1.890701688
0,TAEE3,20257,energia,False,2020,0.3755331980064734,2.3671797632004923,5.830598082758697,2.1895831443087856,3.211019652
0,TAEE3,20257,energia,False,2021,0.3311585344326704,2.900131633987046,6.4680959931173305,2.141965189650563,4.503702834
0,TAEE3,20257,energia,False,2022,0.22056468968153906,4.880582936279296,6.357519928696513,1.4022444102171467,4.854598227
0,TAEE4,20257,energia,False,2015,0.20777004682361355,3.892692399466475,4.235199697358304,0.8799476394274888,2.197367484
0,TAEE4,20257,energia,False,2016,0.20012731022558333,3.6991970452378355,4.167974520356509,0.8341255298477139,2.7040492679999995
0,TAEE4,20257,energia,False,2017,0.149114950206461,4.548123124860208,4.206643244879729,0.6272733979965864,1.765812849
0,TAEE4,20257,energia,False,2018,0.2343160139036039,3.0608332827719464,4.4238669626122595,1.0365828727191482,2.7872514330000002
0,TAEE4,20257,energia,False,2019,0.22164998756606966,4.7559543881885915,4.82863360724683,1.0702665790073658,1.890701688
0,TAEE4,20257,energia,False,2020,0.3755331980064734,2.3671797632004923,5.830598082758697,2.1895831443087856,3.211019652
0,TAEE4,20257,energia,False,2021,0.3311585344326704,2.900131633987046,6.4680959931173305,2.141965189650563,4.503702834
0,TAEE4,20257,energia,False,2022,0.22056468968153906,4.880582936279296,6.357519928696513,1.4022444102171467,4.854598227
0,CPLE6,14311,energia,True,2015,0.08677382899819931,4.639865955619331,4.889508587640655,0.42428138206915733,1.85606
0,CPLE6,14311,energia,True,2016,0.05838320934599232,8.824852024993367,5.021486126270765,0.29317047573806204,2.50946
0,CPLE6,14311,energia,True,2017,0.07209663026402174,7.806533393546195,5.199962426980668,0.37489976848483036,5.924580000000001
0,CPLE6,14311,energia,True,2018,0.08839281855636807,6.573364062703427,5.476785569050569,0.4841085130772221,2.32532
0,CPLE6,14311,energia,True,2019,0.11722037443349359,4.182091543379633,5.89987579268321,0.6915856495294307,5.691458399999999
0,CPLE6,14311,energia,True,2020,0.19306913531792125,1.719184602596074,6.789072715881342,1.310760398865702,6.20031276
0,CPLE6,14311,energia,True,2021,0.22766847792142902,1.6513310021269254,7.4343423169104605,1.6925653996378747,2.6191129600000003
0,CPLE6,14311,energia,True,2022,0.054389700549778826,8.505466270954765,7.084333502019539,0.38531477776960865,1.7712356200000001
0,CPLE3,14311,energia,True,2015,0.08677382899819931,4.639865955619331,4.889508587640655,0.42428138206915733,1.68702
0,CPLE3,14311,energia,True,2016,0.05838320934599232,8.824852024993367,5.021486126270765,0.29317047573806204,2.27432
0,CPLE3,14311,energia,True,2017,0.07209663026402174,7.806533393546195,5.199962426980668,0.37489976848483036,5.3818
0,CPLE3,14311,energia,True,2018,0.08839281855636807,6.573364062703427,5.476785569050569,0.4841085130772221,2.11384
0,CPLE3,14311,energia,True,2019,0.11722037443349359,4.182091543379633,5.89987579268321,0.6915856495294307,5.173395760000001
0,CPLE3,14311,energia,True,2020,0.19306913531792125,1.719184602596074,6.789072715881342,1.310760398865702,5.63664796
0,CPLE3,14311,energia,True,2021,0.22766847792142902,1.6513310021269254,7.4343423169104605,1.6925653996378747,2.3810117399999995
0,CPLE3,14311,energia,True,2022,0.054389700549778826,8.505466270954765,7.084333502019539,0.38531477776960865,1.61020064
0,CSMG3,19445,saneamento,True,2015,-0.0020528259117915297,-259.6363871635611,14.85024174781874,-0.030484961056290647,0.08886164499999999
0,CSMG3,19445,saneamento,True,2016,0.0730949290762291,6.431213305663107,15.620352560520688,1.1417685625569534,0.671509016
0,CSMG3,19445,saneamento,True,2017,0.08975131571087623,4.844855273910762,16.42154530513467,1.4738552971415992,2.093737392
0,CSMG3,19445,saneamento,True,2018,0.0929394746727485,5.300411266632106,16.374971059076447,1.5218812080120252,4.02491067
0,CSMG3,19445,saneamento,True,2019,0.11186330141866951,3.6932489719953234,17.734802292943492,1.983873534496049,1.7272376660000002
0,CSMG3,19445,saneamento,True,2020,0.126455949343092,3.644342706530619,16.97977617111619,2.1471937153517096,8.362688597
0,CSMG3,19445,saneamento,True,2021,0.07952519823348014,4.9770976604717,17.777523841628746,1.4137611076059455,0.944722215
0,CSMG3,19445,saneamento,True,2022,0.11625341132431477,3.5780850927596926,19.07812083957171,2.2178966292577114,0.38433202299999997
0,SAPR11,18627,saneamento,True,2015,0.10488320594635753,,13.831034056725146,1.4506431934225883,0.0
0,SAPR11,18627,saneamento,True,2016,0.13035758513835313,,15.910056374006665,2.073996528330572,0.0
0,SAPR11,18627,saneamento,True,2017,0.13316865444487444,,17.048157696676597,2.2702802212304523,4.811766824999999
0,SAPR11,18627,saneamento,True,2018,0.1561059387936867,,18.91598438504644,2.9528975006343927,10.029059289000001
0,SAPR11,18627,saneamento,True,2019,0.17493505740442772,,20.42711571118872,3.5734186595436856,12.907448259
0,SAPR11,18627,saneamento,True,2020,0.14349987174433324,,22.97226589204906,3.2965172091857613,2.9790764339999996
0,SAPR11,18627,saneamento,True,2021,0.1504701685666177,,25.89436678731452,3.8963297354130426,3.274903074
0,SAPR11,18627,saneamento,True,2022,0.1310518730922567,,29.072442131545706,3.809997996705304,4.52572305
0,SAPR3,18627,saneamento,True,2015,0.10488320594635753,,2.7662068113450293,0.29012863868451766,1.4179523129999998
0,SAPR3,18627,saneamento,True,2016,0.13035758513835313,,3.182011274801333,0.4147993056661144,1.7170115309999998
0,SAPR3,18627,saneamento,True,2017,0.13316865444487444,,3.409631539335319,0.4540560442460904,1.805000544
0,SAPR3,18627,saneamento,True,2018,0.1561059387936867,,3.7831968770092876,0.5905795001268785,1.8572331990000004
0,SAPR3,18627,saneamento,True,2019,0.17493505740442772,,4.085423142237744,0.7146837319087371,2.3902681980000002
0,SAPR3,18627,saneamento,True,2020,0.14349987174433324,,4.594453178409812,0.6593034418371523,0.551680821
0,SAPR3,18627,saneamento,True,2021,0.1504701685666177,,5.178873357462904,0.7792659470826085,0.6064635330000001
0,SAPR3,18627,saneamento,True,2022,0.1310518730922567,,5.814488426309142,0.7619995993410609,0.8380968599999999
0,SAPR4,18627,saneamento,True,2015,0.10488320594635753,,2.7662068113450293,0.29012863868451766,1.559747541
0,SAPR4,18627,saneamento,True,2016,0.13035758513835313,,3.182011274801333,0.4147993056661144,1.888712685
0,SAPR4,18627,saneamento,True,2017,0.13316865444487444,,3.409631539335319,0.4540560442460904,1.9855005989999999
0,SAPR4,18627,saneamento,True,2018,0.1561059387936867,,3.7831968770092876,0.5905795001268785,2.042956524
0,SAPR4,18627,saneamento,True,2019,0.17493505740442772,,4.085423142237744,0.7146837319087371,2.629295016
0,SAPR4,18627,saneamento,True,2020,0.14349987174433324,,4.594453178409812,0.6593034418371523,0.606848904
0,SAPR4,18627,saneamento,True,2021,0.1504701685666177,,5.178873357462904,0.7792659470826085,0.6671098860000001
0,SAPR4,18627,saneamento,True,2022,0.1310518730922567,,5.814488426309142,0.7619995993410609,0.921906549
0,SBSP3,14443,saneamento,True,2015,0.03909706234909715,13.329147701103343,20.067897512683903,0.7845958402686941,0.369130093
0,SBSP3,14443,saneamento,True,2016,0.19113156957252872,2.425485002534697,22.558871055598466,4.311712432640823,0.2193
0,SBSP3,14443,saneamento,True,2017,0.14385363474660465,2.837341176750777,25.622174301041436,3.6858429033158555,1.2048
0,SBSP3,14443,saneamento,True,2018,0.14500374596812307,2.521329999844801,28.604836428484692,4.1478084349357065,1.0298
0,SBSP3,14443,saneamento,True,2019,0.1556457189462475,2.1226743621487287,31.65394382915633,4.9268008447731715,1.159
0,SBSP3,14443,saneamento,True,2020,0.04270117748304532,7.344097201531257,33.348024708623484,1.423999921791912,1.3767
0,SBSP3,14443,saneamento,True,2021,0.0924868458465131,3.0999774922166003,36.476223871465415,3.373570894263123,0.3979
0,SBSP3,14443,saneamento,True,2022,inf,2.2901411510133545,0.0,4.566528065741799,0.9427
0,BRSR3,1210,banco,True,2015,0.13592658199817254,,15.833963643653,2.1522565575650825,2.70216135
0,BRSR3,1210,banco,True,2016,0.10837169987636966,,16.4452682948232,1.7822016800329572,1.8198350699999999
0,BRSR3,1210,banco,True,2017,0.14886309575656215,,17.994157126827258,2.678665935429511,0.81481707
0,BRSR3,1210,banco,True,2018,0.12334906720184174,,18.011057936996885,2.2216471958468937,6.628543079999999
0,BRSR3,1210,banco,True,2019,0.1626775276595363,,19.088061576028373,3.105198665001288,3.73169352
0,BRSR3,1210,banco,True,2020,0.07512983951411842,,20.17380170156682,1.5156544842283641,1.97064804
0,BRSR3,1210,banco,True,2021,0.119321483907639,,22.222897787335516,2.651669140712661,2.8616078399999996
0,BRSR3,1210,banco,True,2022,0.08846795470649788,,23.278484441952106,2.0593999072465348,2.64426633
0,BRSR5,1210,banco,True,2015,0.13592658199817254,,15.833963643653,2.1522565575650825,2.7853266299999997
0,BRSR5,1210,banco,True,2016,0.10837169987636966,,16.4452682948232,1.7822016800329572,1.8198350699999999
0,BRSR5,1210,banco,True,2017,0.14886309575656215,,17.994157126827258,2.678665935429511,0.81481707
0,BRSR5,1210,banco,True,2018,0.12334906720184174,,18.011057936996885,2.2216471958468937,6.8319430799999985
0,BRSR5,1210,banco,True,2019,0.1626775276595363,,19.088061576028373,3.105198665001288,3.8525662499999997
0,BRSR5,1210,banco,True,2020,0.07512983951411842,,20.17380170156682,1.5156544842283641,2.02469631
0,BRSR5,1210,banco,True,2021,0.119321483907639,,22.222897787335516,2.651669140712661,3.59274777
0,BRSR5,1210,banco,True,2022,0.08846795470649788,,23.278484441952106,2.0593999072465348,2.67982785
0,BRSR6,1210,banco,True,2015,0.13592658199817254,,15.833963643653,2.1522565575650825,2.70216135
0,BRSR6,1210,banco,True,2016,0.10837169987636966,,16.4452682948232,1.7822016800329572,1.73394228
0,BRSR6,1210,banco,True,2017,0.14886309575656215,,17.994157126827258,2.678665935429511,0.81481707
0,BRSR6,1210,banco,True,2018,0.12334906720184174,,18.011057936996885,2.2216471958468937,6.628543079999999
0,BRSR6,1210,banco,True,2019,0.1626775276595363,,19.088061576028373,3.105198665001288,3.73169352
0,BRSR6,1210,banco,True,2020,0.07512983951411842,,20.17380170156682,1.5156544842283641,1.97064804
0,BRSR6,1210,banco,True,2021,0.119321483907639,,22.222897787335516,2.651669140712661,2.8616078399999996
0,BRSR6,1210,banco,True,2022,0.08846795470649788,,23.278484441952106,2.0593999072465348,2.64426633
0,ITSA3,7617,banco,False,2015,0.18787992730463118,0.0713809206137425,4.635002651715603,0.8708239612611004,1.0662399999999999
0,ITSA3,7617,banco,False,2016,0.1621184316975473,0.11781888997078871,4.906880979847822,0.795495848979453,1.0056
0,ITSA3,7617,banco,False,2017,0.15045794715854258,0.25402396224131674,5.317409509506157,0.8000465190016092,0.7617200000000001
